slice,users,base@10,casp@10,net@10,gross@10,cannibal@10,ratio@10,base@50,casp@50,net@50,gross@50,cannibal@50,ratio@50,base@100,casp@100,net@100,gross@100,cannibal@100,ratio@100,base@500,casp@500,net@500,gross@500,cannibal@500,ratio@500,group
all,45574,21220,21321,101,101,0,0.0,24853,24920,67,1096,1029,0.9388686131386861,25010,26080,1070,1114,44,0.03949730700179533,25034,26143,1109,1109,0,0.0,target_oov_user_history
True,33037,10165,10266,101,101,0,0.0,12382,12825,443,1070,627,0.585981308411215,12483,13569,1086,1112,26,0.023381294964028777,12497,13606,1109,1109,0,0.0,target_oov_user_history
False,12537,11055,11055,0,0,0,,12471,12095,-376,26,402,15.461538461538462,12527,12511,-16,2,18,9.0,12537,12537,0,0,0,,target_oov_user_history
all,45574,21220,21321,101,101,0,0.0,24853,24920,67,1096,1029,0.9388686131386861,25010,26080,1070,1114,44,0.03949730700179533,25034,26143,1109,1109,0,0.0,target_oov_pre_history
True,45330,21007,21108,101,101,0,0.0,24610,24703,93,1096,1003,0.9151459854014599,24766,25837,1071,1114,43,0.03859964093357271,24790,25899,1109,1109,0,0.0,target_oov_pre_history
False,244,213,213,0,0,0,,243,217,-26,0,26,,244,243,-1,0,1,,244,244,0,0,0,,target_oov_pre_history
all,45574,21220,21321,101,101,0,0.0,24853,24920,67,1096,1029,0.9388686131386861,25010,26080,1070,1114,44,0.03949730700179533,25034,26143,1109,1109,0,0.0,opened
1,42531,18987,19088,101,101,0,0.0,22191,22258,67,1096,1029,0.9388686131386861,22311,23381,1070,1114,44,0.03949730700179533,22325,23434,1109,1109,0,0.0,opened
0,3043,2233,2233,0,0,0,,2662,2662,0,0,0,,2699,2699,0,0,0,,2709,2709,0,0,0,,opened
