phase,bin_id,bin,n_users,mean_top_semid_share,gross@100,cannibal@100,net@100,gross_per_1000@100,cannibal_per_1000@100,net_per_1000@100,ratio@100
validation,1,"(-0.001000001, 0.412]",1425,0.240398218283684,8,1,7,5.614035087719298,0.7017543859649122,4.912280701754386,0.125
validation,2,"(0.412, 0.667]",1553,0.5461094037872013,19,1,18,12.234385061171926,0.6439150032195751,11.59047005795235,0.05263157894736842
validation,3,"(0.667, 1.0]",2711,0.9375458810375229,35,0,35,12.910365178900774,0.0,12.910365178900774,0.0
test,1,"(-0.001000001, 0.412]",5326,0.23458971391611086,25,24,1,4.693954187007135,4.50619601952685,0.1877581674802854,0.96
test,2,"(0.412, 0.667]",4773,0.5429157641716286,29,27,2,6.075843285145611,5.656819610307982,0.4190236748376283,0.9310344827586207
test,3,"(0.667, 1.0]",6855,0.9436193848345971,68,26,42,9.919766593727207,3.7928519328956964,6.12691466083151,0.38235294117647056
